date,open,high,low,close,volume,interval,rsi,macd,macd_signal,macd_hist,stochrsi_K,stochrsi_D,signal
2025-03-07 23:15:00,147.891,147.937,147.88,147.928,3650.0,1m,81.07290850039259,0.0952331579324266,0.07858299442301105,0.016650163509415547,0.0,0.0,Hold
2025-03-07 23:16:00,147.922,147.938,147.891,147.927,3251.0,1m,80.93624487198227,0.09778716703218038,0.08242382894484492,0.015363338087335462,0.0,0.0,Hold
2025-03-07 23:17:00,147.922,147.937,147.859,147.898,3203.0,1m,76.88842799905773,0.09636039732936297,0.08521114262174853,0.011149254707614437,0.0,0.0,Hold
2025-03-07 23:18:00,147.898,147.943,147.885,147.935,3280.0,1m,78.37447605328515,0.09709600058405954,0.08758811421421073,0.009507886369848811,0.0,0.0,Hold
2025-03-07 23:19:00,147.94,147.946,147.896,147.929,3013.0,1m,77.50418854393101,0.09608718831256624,0.08928792903388183,0.006799259278684411,0.0,0.0,Hold
2025-03-07 23:20:00,147.929,147.964,147.9,147.958,3547.0,1m,78.7333759033732,0.09651518794814251,0.09073338081673397,0.005781807131408537,0.0,0.0,Hold
2025-03-07 23:21:00,147.96,147.972,147.891,147.898,3452.0,1m,70.18824462828451,0.09096430232989405,0.090779565119366,0.00018473721052805758,0.0,0.0,Hold
2025-03-07 23:22:00,147.897,147.934,147.886,147.897,3436.0,1m,70.05178239059475,0.08549891556540956,0.08972343520857472,-0.004224519643165156,0.0,0.0,Close Trade
2025-03-07 23:23:00,147.897,147.912,147.87,147.874,3241.0,1m,66.8332830653782,0.07840781293722898,0.08746031075430558,-0.009052497817076594,0.0,0.0,Hold
2025-03-07 23:24:00,147.873,147.896,147.837,147.842,3283.0,1m,62.52879862052761,0.06940586286739858,0.08384942117692418,-0.014443558309525595,0.0,0.0,Hold
2025-03-07 23:25:00,147.842,147.863,147.808,147.82,3062.0,1m,59.6827985143329,0.059807117224437434,0.07904096038642683,-0.019233843161989395,0.0,0.0,Hold
2025-03-07 23:26:00,147.82,147.846,147.802,147.841,2654.0,1m,61.484852074687616,0.0532803835472464,0.07388884501859075,-0.020608461471344347,0.0,0.0,Hold
2025-03-07 23:27:00,147.841,147.866,147.792,147.831,2735.0,1m,60.1071080455459,0.046761941110133876,0.06846346423689938,-0.0217015231267655,0.0,0.0,Hold
2025-03-07 23:28:00,147.831,147.884,147.827,147.855,2793.0,1m,62.291048471673626,0.043036529615420704,0.06337807731260364,-0.020341547697182938,0.0,0.0,Hold
2025-03-07 23:29:00,147.859,147.883,147.831,147.864,2715.0,1m,63.106707472837776,0.040345263861837566,0.058771514622450435,-0.01842625076061287,10.09576361096791,0.0,Open Trade
2025-03-07 23:30:00,147.863,147.868,147.807,147.841,2793.0,1m,59.5610519053416,0.03594218939551297,0.05420564957706295,-0.01826346018154998,9.434539753322909,0.0,Hold
2025-03-07 23:31:00,147.84,147.858,147.798,147.817,2767.0,1m,56.0238330502793,0.030168359663804267,0.049398191594411216,-0.01922983193060695,5.369966672522844,8.300090012271221,Hold
2025-03-07 23:32:00,147.82,147.909,147.82,147.882,2779.0,1m,62.516543081100984,0.03048609010576797,0.04561577129668257,-0.015129681190914596,9.530075928612144,8.111527451485966,Hold
2025-03-07 23:33:00,147.874,147.884,147.82,147.841,2789.0,1m,56.81816785058359,0.027116949111814392,0.041916006859708935,-0.014799057747894542,10.69600986431893,8.53201748848464,Hold
2025-03-07 23:34:00,147.841,147.904,147.84,147.896,2867.0,1m,61.8427164761786,0.028555748058266772,0.03924395509942051,-0.010688207041153738,24.389680073994246,14.871921955641774,Hold
2025-03-07 23:35:00,147.896,147.91,147.88,147.885,2457.0,1m,60.33072544470943,0.028480097682319183,0.037091183616000244,-0.00861108593368106,25.0936787297368,20.05978955601666,Hold
2025-03-07 23:36:00,147.885,147.907,147.854,147.891,2794.0,1m,60.892374908861626,0.028574900405658354,0.035387926973931866,-0.006813026568273511,38.940971960326884,29.474776921352646,Hold
2025-03-07 23:37:00,147.891,147.996,147.889,147.983,2860.0,1m,68.30294008850959,0.03566256749195418,0.035442855077536334,0.00021971241441784417,58.5806350839849,40.871761924682865,Hold
2025-03-07 23:38:00,147.983,148.02,147.951,148.019,2836.0,1m,70.646865211515,0.043680966861643356,0.03709047743435774,0.006590489427285615,81.67989383296353,59.73383362575844,Hold
2025-03-07 23:39:00,148.019,148.031,147.978,147.979,3087.0,1m,64.90388134558087,0.046274516602977656,0.03892728526808173,0.007347231334895926,86.90881662432444,75.7231151804243,Hold
