date,open,high,low,close,volume,interval,rsi,macd,macd_signal,macd_hist,stochrsi_K,stochrsi_D,signal
2025-03-07 23:19:00,1.29,1.2901,1.2896,1.2901,1759.0,1m,40.73144573590903,-0.00013291712128560285,-0.00013534392809718117,2.4268068115783283e-06,0.0,0.0,Open Trade
2025-03-07 23:20:00,1.2901,1.2902,1.2897,1.2901,1847.0,1m,40.73144573590903,-0.00012211485231339303,-0.00013269811294042356,1.0583260627030527e-05,0.0,0.0,Hold
2025-03-07 23:21:00,1.2901,1.2902,1.2897,1.2901,1977.0,1m,40.73144573590903,-0.00011225991391849988,-0.00012861047313603881,1.635055921753894e-05,0.0,0.0,Hold
2025-03-07 23:22:00,1.2901,1.2901,1.2897,1.2901,1721.0,1m,40.73144573590903,-0.00010325949308009896,-0.00012354027712485084,2.028078404475188e-05,0.0,0.0,Hold
2025-03-07 23:23:00,1.2901,1.2903,1.2897,1.2902,1757.0,1m,45.08221911241432,-8.705392697505587e-05,-0.00011624300709489186,2.9189080119835985e-05,0.0,0.0,Hold
2025-03-07 23:24:00,1.2902,1.2904,1.2898,1.2903,1944.0,1m,49.105648613631736,-6.538798285316005e-05,-0.0001060720022465455,4.068401939338545e-05,0.0,0.0,Hold
2025-03-07 23:25:00,1.2903,1.2904,1.2897,1.29,1952.0,1m,39.707157194071534,-7.159970204151378e-05,-9.917754220553916e-05,2.7577840164025384e-05,0.0,0.0,Hold
2025-03-07 23:26:00,1.29,1.2901,1.2896,1.29,1854.0,1m,39.707157194071534,-7.565048257895945e-05,-9.447213028022323e-05,1.8821647701263772e-05,0.0,0.0,Hold
2025-03-07 23:27:00,1.29,1.2901,1.2895,1.29,1992.0,1m,39.707157194071534,-7.796205727261807e-05,-9.117011567870221e-05,1.320805840608414e-05,0.0,0.0,Hold
2025-03-07 23:28:00,1.29,1.29,1.2895,1.29,1892.0,1m,39.707157194071534,-7.888466357353074e-05,-8.871302525766792e-05,9.828361684137177e-06,0.0,0.0,Hold
2025-03-07 23:29:00,1.29,1.2902,1.2897,1.29,2300.0,1m,39.707157194071534,-7.87085327431658e-05,-8.671212675476751e-05,8.003594011601705e-06,47.871916437537294,0.0,Hold
2025-03-07 23:30:00,1.29,1.2901,1.2897,1.2901,1513.0,1m,44.80760276392445,-6.969636718956451e-05,-8.330897484172691e-05,1.3612607652162398e-05,50.46616556961453,0.0,Hold
2025-03-07 23:31:00,1.2901,1.2902,1.2898,1.2901,1598.0,1m,44.80760276392444,-6.184129312680753e-05,-7.901543849874304e-05,1.7174145371935513e-05,53.06041470169174,50.466165569614525,Hold
2025-03-07 23:32:00,1.2898,1.2902,1.2897,1.29,1533.0,1m,40.80430656256409,-6.295949671719647e-05,-7.580425014243372e-05,1.2844753425237252e-05,46.845057726145875,50.12387933248405,Close Trade
2025-03-07 23:33:00,1.29,1.2902,1.2898,1.2901,1485.0,1m,46.000010256235285,-5.514088703217901e-05,-7.167157752038278e-05,1.653069048820377e-05,47.6868050502477,49.19742582602844,Open Trade
2025-03-07 23:34:00,1.2901,1.2902,1.2894,1.2897,1893.0,1m,33.37946097058823,-8.029564141498469e-05,-7.339639029930316e-05,-6.899251115681529e-06,26.209888731987306,40.24725050279363,Close Trade
2025-03-07 23:35:00,1.2895,1.2899,1.2893,1.2899,1722.0,1m,41.95462846621474,-8.313431631434831e-05,-7.534397550231219e-05,-7.790340812036123e-06,40.4946464685194,38.130446750251465,Open Trade
2025-03-07 23:36:00,1.2899,1.29,1.2895,1.2899,1893.0,1m,41.95462846621474,-8.441094973887786e-05,-7.715737034962532e-05,-7.253579389252538e-06,36.351965652314334,34.35216695094035,Hold
2025-03-07 23:37:00,1.2899,1.2899,1.2894,1.2899,2065.0,1m,41.95462846621474,-8.444921296635322e-05,-7.861573887297091e-05,-5.833474093382306e-06,54.5279484784715,43.79152019976841,Hold
2025-03-07 23:38:00,1.2899,1.2901,1.2896,1.29,1595.0,1m,46.273286340892376,-7.553959910788777e-05,-7.800051091995428e-05,2.4609118120665112e-06,69.68529898564768,53.52173770547784,Hold
2025-03-07 23:39:00,1.29,1.2903,1.2898,1.2902,1887.0,1m,53.693815588190255,-5.174386632278427e-05,-7.274918200052028e-05,2.1005315677736006e-05,84.84264949282382,69.68529898564766,Hold
