date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,stochrsi_K,stochrsi_D,signal
2024-08-09 03:34:00,1.09249,1.0926,1.09234,1.09248,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09 03:35:00,1.09246,1.0926,1.09237,1.09251,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09 03:36:00,1.09245,1.09254,1.09233,1.09249,898.0,0.0,-1.5954415955032886e-06,-3.190883191006577e-07,-1.2763532764026309e-06,0.0,0.0,0.0
2024-08-09 03:37:00,1.09246,1.09264,1.09239,1.09254,1339.0,0.0,1.1613542096888807e-06,-2.2999813342750023e-08,1.1843540230316308e-06,0.0,0.0,Open Trade
2024-08-09 03:38:00,1.09254,1.09263,1.09239,1.09252,952.0,0.0,1.7125605618062425e-06,3.241122616870485e-07,1.3884483001191938e-06,0.0,0.0,0.0
2024-08-09 03:39:00,1.09253,1.09261,1.09234,1.09242,957.0,0.0,-5.85230694638561e-06,-9.111715799274832e-07,-4.941135366458127e-06,0.0,0.0,Close Trade
2024-08-09 03:40:00,1.09234,1.09246,1.09226,1.09239,786.0,0.0,-1.410566688098136e-05,-3.550070640138259e-06,-1.0555596240843102e-05,0.0,0.0,0.0
2024-08-09 03:41:00,1.09238,1.09246,1.09225,1.09235,815.0,0.0,-2.360210937224494e-05,-7.560478386559596e-06,-1.6041630985685344e-05,0.0,0.0,0.0
2024-08-09 03:42:00,1.09235,1.09246,1.09225,1.09234,980.0,0.0,-3.157109298390637e-05,-1.236260130602895e-05,-1.920849167787741e-05,0.0,0.0,0.0
2024-08-09 03:43:00,1.09235,1.09248,1.09229,1.0924,980.0,0.0,-3.266848934058153e-05,-1.6423778912939466e-05,-1.6244710427642064e-05,0.0,0.0,0.0
2024-08-09 03:44:00,1.09239,1.09245,1.09224,1.09231,815.0,0.0,-4.0335469513763655e-05,-2.1206117033104304e-05,-1.912935248065935e-05,0.0,0.0,0.0
2024-08-09 03:45:00,1.09232,1.09236,1.09216,1.09225,978.0,0.0,-5.066902412798058e-05,-2.7098698452079563e-05,-2.357032567590101e-05,0.0,0.0,0.0
2024-08-09 03:46:00,1.09226,1.0923,1.09208,1.09217,849.0,0.0,-6.456945553057203e-05,-3.459284986777806e-05,-2.997660566279397e-05,0.0,0.0,0.0
2024-08-09 03:47:00,1.09218,1.09224,1.09203,1.09203,830.0,0.0,-8.589236383138577e-05,-4.48527526604996e-05,-4.103961117088617e-05,0.0,0.0,0.0
2024-08-09 03:48:00,1.09208,1.09213,1.09199,1.09204,752.0,0.0,-0.0001008217949636,-5.60465611211244e-05,-4.477523384249924e-05,0.0,0.0,0.0
2024-08-09 03:49:00,1.09207,1.09211,1.09194,1.09203,868.0,16.666666666656383,-0.0001121673971899,-6.727072833489942e-05,-4.489666885510005e-05,0.0,0.0,0.0
2024-08-09 03:50:00,1.09203,1.09219,1.09198,1.09214,640.0,28.4403669724756,-0.0001110032120716,-7.601722508225793e-05,-3.498598698943402e-05,0.0,0.0,0.0
2024-08-09 03:51:00,1.09214,1.09244,1.09209,1.0924,968.0,47.368421052628406,-8.80853666138659e-05,-7.843085338857952e-05,-9.65451322528638e-06,0.0,0.0,0.0
2024-08-09 03:52:00,1.09231,1.09244,1.09214,1.09221,909.0,39.20699022451672,-8.428266300297693e-05,-7.960121531145901e-05,-4.681447691517923e-06,0.0,0.0,0.0
2024-08-09 03:53:00,1.09221,1.09234,1.09216,1.09229,964.0,43.61236014665801,-7.396108424240211e-05,-7.847318909764763e-05,4.512104855245526e-06,0.0,0.0,Open Trade
2024-08-09 03:54:00,1.09228,1.09248,1.0922,1.09241,785.0,49.521339852879,-5.545886630464736e-05,-7.387032453904758e-05,1.8411458234400224e-05,0.0,0.0,0.0
2024-08-09 03:55:00,1.09241,1.09249,1.0923,1.09233,999.0,46.05627909790312,-4.671258311916837e-05,-6.843877625507175e-05,2.1726193135903377e-05,0.0,0.0,0.0
2024-08-09 03:56:00,1.0923,1.09239,1.0922,1.0923,885.0,44.79060654555547,-4.172090731158207e-05,-6.309520246637382e-05,2.137429515479175e-05,0.0,0.0,0.0
2024-08-09 03:57:00,1.09222,1.09237,1.09214,1.0922,965.0,40.76877728960166,-4.531180623934539e-05,-5.953852322096814e-05,1.422671698162275e-05,0.0,0.0,0.0
2024-08-09 03:58:00,1.09224,1.09229,1.09199,1.09203,1187.0,35.01304970973085,-6.117006829109428e-05,-5.986483223499336e-05,-1.3052360561009174e-06,0.0,0.0,Close Trade
2024-08-09 03:59:00,1.092,1.09226,1.09199,1.09217,938.0,42.244563401347314,-6.172944661320123e-05,-6.023775511063494e-05,-1.491691502566291e-06,0.0,0.0,0.0
2024-08-09 04:00:00,1.09211,1.09225,1.09205,1.09218,1260.0,42.73473817206485,-6.0666515707685775e-05,-6.032350723004512e-05,-3.430084776406611e-07,0.0,0.0,0.0
