PAIR,Buy Time,Buy Price,Take Profit,Stop Loss,Close,Close Time,%
British Pound / U.S.Dollar,2025-03-01 00:20:00,1.2571,1.2948130000000002,1.231958,1.2573,2025-03-01 01:05:00,0.02%
British Pound / U.S.Dollar,2025-03-01 00:20:00,1.2571,1.2948130000000002,1.231958,1.2568,2025-03-01 00:40:00,-0.02%
Euro / U.S.Dollar,2025-03-01 00:30:00,1.03687,1.0679761,1.0161326,1.0367,2025-03-01 00:40:00,-0.02%
Euro / U.S.Dollar,2025-03-01 00:30:00,1.03687,1.0679761,1.0161326,1.03672,2025-03-01 01:05:00,-0.01%
U.S. Dollar / JAPANESE YEN,2025-03-01 01:25:00,150.571,153.58241999999998,149.06529,150.508,2025-03-01 01:30:00,-0.04%
British Pound / U.S.Dollar,2025-03-01 01:35:00,1.2574,1.282548,1.244826,1.2578,2025-03-01 02:00:00,0.03%
Euro / U.S.Dollar,2025-03-01 01:40:00,1.03672,1.0574544,1.0263528000000002,1.03706,2025-03-01 02:00:00,0.03%
U.S. Dollar / JAPANESE YEN,2025-03-01 01:50:00,150.529,153.53958,149.02371,150.579,2025-03-01 02:50:00,0.03%
British Pound / U.S.Dollar,2025-03-01 02:15:00,1.2582,1.295946,1.245618,1.2578,2025-03-01 02:25:00,-0.03%
Bitcoin / U.S.Dollar,2025-03-02 01:50:00,85648.37,88217.8211,84791.8863,85597.72,2025-03-02 02:00:00,-0.06%
Bitcoin / U.S.Dollar,2025-03-02 02:15:00,85567.23,87278.57459999999,84711.55769999999,86105.62,2025-03-02 03:10:00,0.63%
Bitcoin / U.S.Dollar,2025-03-02 02:25:00,85677.02,88247.3306,84820.2498,85896.73,2025-03-02 03:20:00,0.26%
Bitcoin / U.S.Dollar,2025-03-02 03:25:00,86030.33,88611.2399,85170.0267,85964.27,2025-03-02 04:05:00,-0.08%
Bitcoin / U.S.Dollar,2025-03-02 03:35:00,85930.21,87648.81420000001,85070.9079,86201.46,2025-03-02 04:00:00,0.32%
Bitcoin / U.S.Dollar,2025-03-02 04:30:00,85991.81,87711.6462,85131.8919,86145.55,2025-03-02 05:10:00,0.18%
Bitcoin / U.S.Dollar,2025-03-02 04:50:00,86129.34,88713.2202,85268.0466,86296.79,2025-03-02 06:20:00,0.19%
Bitcoin / U.S.Dollar,2025-03-02 05:30:00,86208.45,87932.61899999999,85346.3655,86177.16,2025-03-02 05:50:00,-0.04%
Bitcoin / U.S.Dollar,2025-03-02 06:05:00,86354.07,88081.1514,85490.52930000001,86296.79,2025-03-02 06:20:00,-0.07%
Bitcoin / U.S.Dollar,2025-03-02 06:35:00,86365.62,88092.93239999999,85501.9638,86283.23,2025-03-02 06:40:00,-0.10%
Bitcoin / U.S.Dollar,2025-03-02 06:45:00,86332.71,88059.36420000001,85469.38290000001,86347.26,2025-03-02 07:10:00,0.02%
Bitcoin / U.S.Dollar,2025-03-02 07:40:00,85908.45,87626.61899999999,85049.3655,86088.91,2025-03-02 08:50:00,0.21%
Bitcoin / U.S.Dollar,2025-03-02 09:25:00,85769.58,87484.9716,84911.8842,86009.45,2025-03-02 10:25:00,0.28%
Bitcoin / U.S.Dollar,2025-03-02 10:55:00,86005.11,87725.2122,85145.0589,86040.35,2025-03-02 11:10:00,0.04%
Bitcoin / U.S.Dollar,2025-03-02 11:20:00,86171.43,87894.85859999999,85309.71569999999,86317.68,2025-03-02 11:35:00,0.17%
Bitcoin / U.S.Dollar,2025-03-02 12:25:00,86328.99,88055.56980000001,85465.7001,86371.45,2025-03-02 12:45:00,0.05%
Bitcoin / U.S.Dollar,2025-03-02 13:15:00,85888.35,87606.11700000001,85029.46650000001,85860.67,2025-03-02 13:55:00,-0.03%
Bitcoin / U.S.Dollar,2025-03-02 14:05:00,85882.44,87600.0888,85023.6156,86100.56,2025-03-02 14:45:00,0.25%
Bitcoin / U.S.Dollar,2025-03-02 15:30:00,86028.8,87749.376,85168.512,86087.87,2025-03-02 16:00:00,0.07%
Bitcoin / U.S.Dollar,2025-03-02 17:20:00,85973.61,87693.0822,85113.8739,86033.17,2025-03-02 18:05:00,0.07%
Bitcoin / U.S.Dollar,2025-03-02 18:35:00,85740.84,87455.6568,84883.4316,85740.45,2025-03-02 19:05:00,-0.00%
Bitcoin / U.S.Dollar,2025-03-02 18:35:00,85740.84,87455.6568,84883.4316,85263.53,2025-03-02 19:45:00,-0.56%
Bitcoin / U.S.Dollar,2025-03-02 18:35:00,85740.84,88313.0652,84883.4316,85295.61,2025-03-02 19:35:00,-0.52%
Bitcoin / U.S.Dollar,2025-03-02 19:25:00,85535.0,87245.7,84679.65,,,
